Lon,Lat,Cafe,Delivery,Catalog,Pickup
38.98735,45.022864,False,True,True,True
38.917479,45.031744,False,True,True,False
38.979894,45.04524,False,True,True,True
38.942462,45.060153,False,True,True,True
38.961901,45.001517,True,True,True,True
39.028412,45.053722,False,True,True,True
37.378782,45.279938,False,False,True,False
38.105546,44.55687,False,True,True,True
37.779484,44.681526,False,True,True,True
38.076782,44.57347,True,True,True,True
38.078489,44.557088,False,True,True,True
37.336561,44.878565,False,True,True,True
37.317293,44.896204,False,False,True,False
37.318272,44.87403,False,False,True,False
39.651376,47.202368,False,True,True,True
39.704664,47.22493,True,False,True,False
39.628532,47.229281,False,True,True,True
39.672361,47.210602,False,True,True,True
39.703757,47.212248,True,True,True,True
40.104055,47.410998,False,True,True,True
39.418533,47.098887,False,True,True,True
40.05436,47.425314,True,True,True,True
39.629511,47.208698,False,True,True,True
39.726098,47.23141,False,True,True,True
39.7054319,47.2350975,False,True,True,True
38.915126,47.27645,False,True,True,True
39.717546,47.281212,False,True,True,True
39.7309652,47.2322731,False,False,True,False
38.919851,47.219397,False,True,True,False
39.714662,47.288083,False,False,True,False
39.76566,47.244137,False,True,True,True
39.71124,47.294763,False,True,True,True
39.727589,43.594555,True,True,True,True
40.263156,43.68381,True,True,True,True
39.72564,43.591871,False,False,True,False
